Line,Station name,Lat,Long,poprating,workrating,station id,station time
1,Xinzhuang,121.377211,31.114532,4,1,101,0
1,Lianhua Rd,121.397381,31.133489,4,3,103,5
1,South Station,121.421971,31.156702,5,2,105,11
1,Xujiahui,121.43446,31.196008,3,5,108,18
1,Changshu Rd,121.446905,31.214747,2,3,110,23
1,Shanxi S Rd,121.455102,31.219022,2,3,111,25
1,People's Square,121.471753,31.233885,2,5,113,29
1,Station,121.451283,31.250341,5,2,116,35
1,Circus World,121.447506,31.281302,3,3,119,42
1,Gongkang Rd,121.44212,31.321876,4,1,122,50
1,Gongfu Xincun,121.429267,31.35699,4,1,125,58
1,Fujin Rd,121.419933,31.39418,3,1,128,65
2,Hongqiao,121.318202,31.195935,5,1,202,3
2,Songhong Rd,121.35644,31.22016,5,2,204,12
2,Weining Rd,121.381659,31.216852,5,2,206,17
2,Zhongshan Park,121.411049,31.21972,3,2,208,23
2,Jingansi,121.442571,31.223215,3,3,210,29
2,People's Square,121.470535,31.234438,0,0,113,34
2,Nanjing E Rd,121.480234,31.239362,3,5,213,36
2,Lujiazui,121.497561,31.24005,1,5,214,39
2,Century Av,121.534238,31.223738,4,4,216,44
2,Longyang Rd,121.554623,31.20513,3,2,219,52
3,South Station,121.426735,31.155316,0,0,105,0
3,Longcao Rd,121.439835,31.171299,3,1,303,6
3,Yishan Rd,121.42269,31.188482,4,1,305,10
3,Zhongshan Park,121.411283,31.21849,0,0,208,17
3,Caoyang Rd,121.413104,31.241178,2,2,310,22
3,Station,121.453238,31.251694,0,0,116,29
3,Hongkou Stadium,121.474639,31.273283,3,4,316,37
3,Changjiang S Rd,121.487111,31.334049,3,1,321,49
3,Shuichan Rd,121.483823,31.383263,3,2,325,59
3,Jiangyang N Rd,121.435238,31.409679,3,2,329,70
4,Jiuting,121.31537,31.139504,5,1,909,0
4,Hechuan Rd,121.380172,31.168389,3,1,913,12
4,Yishan Rd,121.42284,31.186225,0,0,305,20
4,Xujiahui,121.43402,31.196816,0,0,108,22
4,Zhaojiabang Rd,121.445864,31.201423,3,3,918,25
4,Jiashan Rd,121.456347,31.204763,4,2,919,27
4,Madang Rd,121.471925,31.211012,2,2,921,31
4,Lujiabang Rd,121.481538,31.213866,4,3,922,33
4,Century Av,121.522415,31.230454,0,0,925,41
4,Yanggao M Rd,121.544366,31.229885,2,2,926,44
4,Lantian Rd,121.573688,31.243159,2,2,928,49
